gama_x,gama_y
47010.98850140546,19687.086836487055
47181.34514483879,19479.003526845947
46986.029351360514,20198.56168410927
47006.52343374514,19594.940824783407
47062.13059602096,20036.255215771496
46536.31523285003,19168.58971651271
47181.34514483879,19479.003526845947
47039.748825684306,19665.358484224416
47218.11693374952,20511.879247510806
47028.754543059156,19919.101672320627
46536.31523285003,19168.58971651271
47067.24075909122,19724.72511648573
46984.69208189461,19669.467887575738
46776.71904324135,19597.91384476982
46898.1189700627,19882.19900658354
47013.9526140634,19699.525191979483
46847.728165705455,20480.414627594873
46881.99390798714,19496.112340129912
46982.018198270816,19649.195774394087
47277.7286436531,19609.911665179767
47075.631506906124,20131.338670823723
44509.681039616,23357.889276885428
47098.99866291846,19598.978745247237
46987.14476863644,20074.418218630366
47277.7286436531,19609.911665179767
47064.247579410556,20053.335031532682
47028.754543059156,19919.101672320627
45901.613546918146,21334.79791046027
46946.17230099416,19701.295165029354
47028.754543059156,19919.101672320627
46756.17432327999,19485.551937625743
47013.9526140634,19699.525191979483
47028.754543059156,19919.101672320627
46705.78647257679,20616.051717961207
46945.72457476542,20434.52065490652
47289.68918794335,20038.59726040531
46598.88279285305,20664.800241406076
44487.468248937745,23176.7345936317
46705.440116646234,20637.925147798844
47030.51137925254,20053.296637197025
47262.186491439934,19893.430888437666
47015.770330091356,20131.994694151916
47110.74611687043,19926.505396462977
46888.825927947764,19435.00022505317
47181.34514483879,19479.003526845947
46652.218967683846,18763.51675169263
46793.200232486124,20583.378287643194
47108.76223247999,19611.470714960247
47013.9526140634,19699.525191979483
47032.845081547275,19724.41682196688
46782.013659661636,19409.090712408535
46755.90650240972,20660.283823906444
47108.58840843977,19691.642266022973
47012.99094173522,19904.102977240458
46397.23111246887,20853.88245765213
47355.14278188872,19748.59407376591
47023.476516929455,19817.20225961972
44479.994872563286,23400.452890767716
47403.948562805774,19826.97945088055
46773.64300564444,20604.709373002872
47267.60678872478,19881.160812584683
46734.30766130611,20587.319172426127
46992.95183010993,19768.000403218903
47093.726550180465,19726.569760105573
47586.40109019668,19508.68525648676
46915.53760617471,20438.049899150617
47108.76223247999,19611.470714960247
46647.038864963804,20720.40718574077
47419.37744556076,19630.372557539493
46987.14476863644,20074.418218630366
47063.24486412876,19675.50174933113
46932.3571784714,20393.159377576783
47012.99094173522,19904.102977240458
47174.79379734304,20612.4822307555
47201.23226657056,20051.485993139446
46993.22857615689,20143.842794038355
46752.20535036479,19658.56557732355
47015.770330091356,20131.994694151916
46734.30766130611,20587.319172426127
47181.34514483879,19479.003526845947
46986.029351360514,20198.56168410927
46630.6444204289,20620.569714155048
46793.200232486124,20583.378287643194
